"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.8,0.8,0.733,NA,NA,0,0,0,0,0,0,0.083,NA,NA,NA,0.5,0.5,0.458
0.8,0.667,0.667,NA,0,0,0,0,0,0,0.167,0.167,NA,NA,NA,0.5,0.417,0.417
0.857,0.786,0.857,NA,0,NA,0,0,0,0,0.083,0,NA,NA,NA,0.5,0.458,0.5
0.812,0.75,0.812,NA,0,NA,0,0,0,0,0.077,0,NA,NA,NA,0.5,0.462,0.5
0.8,0.8,0.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
