"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.846,0.846,0.846,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.8,0.733,0.667,0.5,0,0,0.667,0,0,0.167,0.083,0.167,0.571,NA,NA,0.75,0.458,0.417
0.846,0.846,0.846,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.846,0.846,0.846,0.5,0.5,0.5,1,0.5,0.5,0.182,0.091,0.091,0.667,0.5,0.5,0.909,0.705,0.705
0.857,0.786,0.929,0.5,0,1,0.5,0,0.5,0.083,0.083,0,0.5,NA,0.667,0.708,0.458,0.75
