"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.714,0.571,0.571,NA,0.333,0.333,0,0.5,0.5,0,0.4,0.4,NA,0.4,0.4,0.5,0.55,0.55
0.75,0.75,0.625,0.5,0.5,0.333,1,1,0.5,0.333,0.333,0.333,0.667,0.667,0.4,0.833,0.833,0.583
0.429,0.714,0.857,0,NA,1,0,0,0.5,0.4,0,0,NA,NA,0.667,0.3,0.5,0.75
0.714,0.571,0.571,NA,0,0,0,0,0,0,0.2,0.2,NA,NA,NA,0.5,0.4,0.4
0.714,0.571,0.714,NA,0.333,0.5,0,0.5,1,0,0.4,0.4,NA,0.4,0.667,0.5,0.55,0.8
