"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.571,0.286,0.357,0.625,0.4,0.455,0.625,0.5,0.625,0.5,1,1,0.625,0.444,0.526,0.562,0.25,0.312
0.625,0.562,0.5,0.6,0.571,0.533,1,0.889,0.889,0.857,0.857,1,0.75,0.696,0.667,0.571,0.516,0.444
0.533,0.533,0.533,0.571,0.571,0.6,0.5,0.5,0.375,0.429,0.429,0.286,0.533,0.533,0.462,0.536,0.536,0.545
0.438,0.625,0.625,0.5,0.6,0.6,0.778,1,1,1,0.857,0.857,0.609,0.75,0.75,0.389,0.571,0.571
0.467,0.533,0.533,0.5,0.533,0.533,0.875,1,1,1,1,1,0.636,0.696,0.696,0.438,0.5,0.5
