"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.733,0.667,0.533,0.75,0.636,0.571,0.75,0.875,0.5,0.286,0.571,0.429,0.75,0.737,0.533,0.732,0.652,0.536
0.571,0.571,0.571,0.625,0.625,0.625,0.625,0.625,0.625,0.5,0.5,0.5,0.625,0.625,0.625,0.562,0.562,0.562
0.438,0.438,0.438,0.5,0.5,0.5,0.333,0.333,0.333,0.429,0.429,0.429,0.4,0.4,0.4,0.452,0.452,0.452
0.562,0.562,0.562,0.583,0.583,0.583,0.778,0.778,0.778,0.714,0.714,0.714,0.667,0.667,0.667,0.532,0.532,0.532
0.667,0.467,0.467,0.714,0.5,0.5,0.625,0.5,0.5,0.286,0.571,0.571,0.667,0.5,0.5,0.67,0.464,0.464
