"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.929,0.929,0.929,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.929,0.929,0.929,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.931,0.931,0.931,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.931,0.931,0.931,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.931,0.931,0.931,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
