"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.8,0.8,0.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.857,0.857,0.857,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.812,0.75,0.75,NA,0,0,0,0,0,0,0.077,0.077,NA,NA,NA,0.5,0.462,0.462
0.8,0.8,0.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
0.8,0.8,0.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.5,0.5,0.5
