"Accuracy","AccuracySynth","AccuracySynthCombined","Precision","PrecisionSynth","PrecisionSynthCombined","Recall","RecallSynth","RecallSynthCombined","Fallout","FalloutSynth","FalloutSynthCombined","FMeasure","FMeasureSynth","FMeasureSynthCombined","AUC","AUCSynth","AUCSynthCombined"
0.533,0.533,0.533,0.5,0.5,0.5,0.286,0.429,0.429,0.25,0.375,0.375,0.364,0.462,0.462,0.518,0.527,0.527
0.533,0.6,0.667,0.5,0.6,0.667,0.143,0.429,0.571,0.125,0.25,0.25,0.222,0.5,0.615,0.509,0.589,0.661
0.429,0.643,0.571,0.429,0.667,0.545,0.429,0.571,0.857,0.571,0.286,0.714,0.429,0.615,0.667,0.429,0.643,0.571
0.5,0.75,0.562,0.5,0.833,0.556,0.75,0.625,0.625,0.75,0.125,0.5,0.6,0.714,0.588,0.5,0.75,0.562
0.4,0.333,0.333,0.333,0.2,0.2,0.286,0.143,0.143,0.5,0.5,0.5,0.308,0.167,0.167,0.393,0.321,0.321
